X,Y,Z,B0
-0.025,-0.005,-0.04,0.04437101374675654
-0.02,-0.005,-0.04,0.044371476485168794
-0.015,-0.005,-0.04,0.04437182041597168
-0.01,-0.005,-0.04,0.044369807371961306
-0.005,-0.005,-0.04,0.04434283452099572
0.0,-0.005,-0.04,0.044319543624277376
0.005,-0.005,-0.04,0.04429374275770423
0.01,-0.005,-0.04,0.04427914612531291
0.015,-0.005,-0.04,0.044266384691172125
0.02,-0.005,-0.04,0.04426049788233877
0.025,-0.005,-0.04,0.04427217440888832
-0.03,0.0,-0.04,0.044341883983327814
-0.025,0.0,-0.04,0.044352198955866506
-0.02,0.0,-0.04,0.044359232397698345
-0.015,0.0,-0.04,0.044362640301042706
-0.01,0.0,-0.04,0.04436593405336733
-0.005,0.0,-0.04,0.044357969451093035
0.0,0.0,-0.04,0.044331523858951546
0.005,0.0,-0.04,0.044310877628974996
0.01,0.0,-0.04,0.04429069874356623
0.015,0.0,-0.04,0.04427246463774467
0.02,0.0,-0.04,0.044271496122667134
0.025,0.0,-0.04,0.04428461972056433
0.03,0.0,-0.04,0.04431533178450036
-0.025,0.005,-0.04,0.04431577679978699
-0.02,0.005,-0.04,0.04432014522818961
-0.015,0.005,-0.04,0.04433023549433604
-0.01,0.005,-0.04,0.04433577073395435
-0.005,0.005,-0.04,0.04432339793671574
0.0,0.005,-0.04,0.04430794118114858
0.005,0.005,-0.04,0.04427859769661797
0.01,0.005,-0.04,0.04426175546077614
0.015,0.005,-0.04,0.044253472191281465
0.02,0.005,-0.04,0.044259744901943496
0.025,0.005,-0.04,0.04428679823566272
-0.025,0.01,-0.04,0.04416985902147697
-0.02,0.01,-0.04,0.04427931330730155
-0.015,0.01,-0.04,0.0442851251629974
-0.01,0.01,-0.04,0.04429400944199177
-0.005,0.01,-0.04,0.044288872497279634
0.0,0.01,-0.04,0.04428175639753258
0.005,0.01,-0.04,0.04426459876951286
0.01,0.01,-0.04,0.04424351833001069
0.015,0.01,-0.04,0.04424092620041589
0.02,0.01,-0.04,0.04424834857207073
0.025,0.01,-0.04,0.04427403965096489
-0.025,0.015,-0.04,0.04421588160393209
-0.02,0.015,-0.04,0.04424645200046427
-0.015,0.015,-0.04,0.04426885637245937
-0.01,0.015,-0.04,0.04428924635506898
-0.005,0.015,-0.04,0.04431397102898077
0.0,0.015,-0.04,0.04430134493897011
0.005,0.015,-0.04,0.04427912495428637
0.01,0.015,-0.04,0.04424388220707898
0.015,0.015,-0.04,0.04423614609604251
0.02,0.015,-0.04,0.04424486007853881
0.025,0.015,-0.04,0.04427054899475301
-0.02,0.02,-0.04,0.044249579590431944
-0.015,0.02,-0.04,0.044279410049736116
-0.01,0.02,-0.04,0.044322255014321695
-0.005,0.02,-0.04,0.044346247016551446
0.0,0.02,-0.04,0.04434028386288053
0.005,0.02,-0.04,0.0442883596600865
