X,Y,Z,B0
-0.01,-0.01,-0.035,0.0441975
-0.005,-0.01,-0.035,0.044170749999999995
0.0,-0.01,-0.035,0.044147000000000006
0.005,-0.01,-0.035,0.04413250000000001
0.01,-0.01,-0.035,0.044142
0.015,-0.01,-0.035,0.04416325
0.02,-0.01,-0.035,0.0441985
0.025,-0.01,-0.035,0.04423
0.03,-0.01,-0.035,0.044254
-0.035,-0.005,-0.035,0.0444105
-0.03,-0.005,-0.035,0.044364
-0.025,-0.005,-0.035,0.04432071428571428
-0.02,-0.005,-0.035,0.044275
-0.015,-0.005,-0.035,0.044225125000000004
-0.01,-0.005,-0.035,0.04418825
-0.005,-0.005,-0.035,0.044160250000000005
0.0,-0.005,-0.035,0.044151249999999996
0.005,-0.005,-0.035,0.044137125
0.01,-0.005,-0.035,0.044144
0.015,-0.005,-0.035,0.044159500000000004
0.02,-0.005,-0.035,0.044186
0.025,-0.005,-0.035,0.044223
0.03,-0.005,-0.035,0.044268333333333326
0.035,-0.005,-0.035,0.044304750000000004
-0.035,0.0,-0.035,0.044357
-0.03,0.0,-0.035,0.0443615
-0.025,0.0,-0.035,0.04432325
-0.02,0.0,-0.035,0.044277
-0.015,0.0,-0.035,0.0442415
-0.01,0.0,-0.035,0.044199
-0.005,0.0,-0.035,0.04417475
0.0,0.0,-0.035,0.0441575
0.005,0.0,-0.035,0.04415575
0.01,0.0,-0.035,0.044154
0.015,0.0,-0.035,0.04417375
0.02,0.0,-0.035,0.0441995
0.025,0.0,-0.035,0.0442375
0.03,0.0,-0.035,0.0442795
0.035,0.0,-0.035,0.04431833333333333
-0.035,0.005,-0.035,0.04441275
-0.03,0.005,-0.035,0.044366333333333334
-0.025,0.005,-0.035,0.04432014285714286
-0.02,0.005,-0.035,0.04427075
-0.015,0.005,-0.035,0.044230874999999996
-0.01,0.005,-0.035,0.04419
-0.005,0.005,-0.035,0.044166250000000004
0.0,0.005,-0.035,0.0441495
0.005,0.005,-0.035,0.044148625
0.01,0.005,-0.035,0.04415575
0.015,0.005,-0.035,0.044175375
0.02,0.005,-0.035,0.044202
0.025,0.005,-0.035,0.044242142857142855
0.03,0.005,-0.035,0.04427933333333333
0.035,0.005,-0.035,0.044327
-0.03,0.01,-0.035,0.044361000000000005
-0.025,0.01,-0.035,0.044310333333333334
-0.02,0.01,-0.035,0.0442585
-0.015,0.01,-0.035,0.044220249999999996
-0.01,0.01,-0.035,0.044180000000000004
-0.005,0.01,-0.035,0.04415675
0.0,0.01,-0.035,0.0441415
0.005,0.01,-0.035,0.0441365
0.01,0.01,-0.035,0.0441455
0.015,0.01,-0.035,0.044168
0.02,0.01,-0.035,0.0442015
0.025,0.01,-0.035,0.04424933333333333
0.03,0.01,-0.035,0.044298000000000004
-0.03,0.015,-0.035,0.044349
-0.025,0.015,-0.035,0.04431616666666667
-0.02,0.015,-0.035,0.04427575
-0.015,0.015,-0.035,0.044229625
-0.01,0.015,-0.035,0.0441905
-0.005,0.015,-0.035,0.04415625
0.0,0.015,-0.035,0.044147000000000006
0.005,0.015,-0.035,0.04414075
0.01,0.015,-0.035,0.0441405
0.015,0.015,-0.035,0.04416825
0.02,0.015,-0.035,0.044206
0.025,0.015,-0.035,0.044253
0.03,0.015,-0.035,0.044299
-0.025,0.02,-0.035,0.044325
-0.02,0.02,-0.035,0.044274
-0.015,0.02,-0.035,0.044218
-0.01,0.02,-0.035,0.044188000000000005
-0.005,0.02,-0.035,0.04416175
0.0,0.02,-0.035,0.0441435
0.005,0.02,-0.035,0.044131000000000004
0.01,0.02,-0.035,0.0441365
0.015,0.02,-0.035,0.044166500000000004
0.02,0.02,-0.035,0.0442075
0.025,0.02,-0.035,0.04425066666666667
-0.025,0.025,-0.035,0.044311500000000004
-0.02,0.025,-0.035,0.04425933333333333
-0.015,0.025,-0.035,0.044197666666666656
-0.01,0.025,-0.035,0.044164999999999996
-0.005,0.025,-0.035,0.04414214285714285
0.0,0.025,-0.035,0.04412475
0.005,0.025,-0.035,0.04412557142857143
0.01,0.025,-0.035,0.04413533333333333
0.015,0.025,-0.035,0.04416716666666667
0.02,0.025,-0.035,0.044212
0.025,0.025,-0.035,0.04426775
-0.015,0.03,-0.035,0.04417000000000001
-0.01,0.03,-0.035,0.044138
-0.005,0.03,-0.035,0.04411933333333333
0.0,0.03,-0.035,0.044112
0.005,0.03,-0.035,0.044108999999999995
0.01,0.03,-0.035,0.044122
0.015,0.03,-0.035,0.044159500000000004
-0.005,0.035,-0.035,0.04412775
0.0,0.035,-0.035,0.04414
0.005,0.035,-0.035,0.0441455
0.0,-0.04,-0.03,0.044196
-0.015,-0.035,-0.03,0.044222500000000005
-0.01,-0.035,-0.03,0.044175
-0.005,-0.035,-0.03,0.044174
0.0,-0.035,-0.03,0.0441855
0.005,-0.035,-0.03,0.04417633333333333
0.01,-0.035,-0.03,0.044191
0.015,-0.035,-0.03,0.044192
-0.025,-0.03,-0.03,0.044289999999999996
-0.02,-0.03,-0.03,0.044272000000000006
-0.015,-0.03,-0.03,0.0442195
-0.01,-0.03,-0.03,0.044185
-0.005,-0.03,-0.03,0.0441745
0.0,-0.03,-0.03,0.044176
0.005,-0.03,-0.03,0.0441785
0.01,-0.03,-0.03,0.044183
0.015,-0.03,-0.03,0.044208
0.02,-0.03,-0.03,0.044237
0.025,-0.03,-0.03,0.044292000000000005
-0.03,-0.025,-0.03,0.044387
-0.025,-0.025,-0.03,0.044331666666666665
-0.02,-0.025,-0.03,0.0442755
-0.015,-0.025,-0.03,0.044229500000000005
-0.01,-0.025,-0.03,0.0441995
-0.005,-0.025,-0.03,0.044177749999999995
0.0,-0.025,-0.03,0.044175
0.005,-0.025,-0.03,0.044175500000000006
0.01,-0.025,-0.03,0.044186
0.015,-0.025,-0.03,0.04420925
0.02,-0.025,-0.03,0.0442395
0.025,-0.025,-0.03,0.04427933333333333
0.03,-0.025,-0.03,0.044317
-0.03,-0.02,-0.03,0.044382
-0.025,-0.02,-0.03,0.0443295
-0.02,-0.02,-0.03,0.04428
-0.015,-0.02,-0.03,0.0442435
-0.01,-0.02,-0.03,0.044209
-0.005,-0.02,-0.03,0.044187
0.0,-0.02,-0.03,0.044169
0.005,-0.02,-0.03,0.0441745
0.01,-0.02,-0.03,0.044181
0.015,-0.02,-0.03,0.0441965
0.02,-0.02,-0.03,0.044229000000000004
0.025,-0.02,-0.03,0.044267
0.03,-0.02,-0.03,0.044311
-0.035,-0.015,-0.03,0.044385
-0.03,-0.015,-0.03,0.04438
-0.025,-0.015,-0.03,0.04432925
-0.02,-0.015,-0.03,0.0442855
-0.015,-0.015,-0.03,0.04425075
-0.01,-0.015,-0.03,0.044213
-0.005,-0.015,-0.03,0.044189
0.0,-0.015,-0.03,0.044181
