X,Y,Z,B0
-0.015,-0.005,-0.04,0.04569487191514628
-0.01,-0.005,-0.04,0.045674881105368825
-0.005,-0.005,-0.04,0.04566045408341714
0.0,-0.005,-0.04,0.045653906347381326
0.005,-0.005,-0.04,0.0456535518783001
0.01,-0.005,-0.04,0.04565430484802339
0.015,-0.005,-0.04,0.04565004005504271
0.02,-0.005,-0.04,0.04563670333772762
0.025,-0.005,-0.04,0.045614363604374125
-0.03,0.0,-0.04,0.045708987849104966
-0.025,0.0,-0.04,0.04570265959338002
-0.02,0.0,-0.04,0.04568646538564394
-0.015,0.0,-0.04,0.045666147981622114
-0.01,0.0,-0.04,0.045647301681178164
-0.005,0.0,-0.04,0.045634456153056696
0.0,0.0,-0.04,0.04562934740319905
0.005,0.0,-0.04,0.0456298691345763
0.01,0.0,-0.04,0.04563059950698046
0.015,0.0,-0.04,0.045625135459133756
0.02,0.0,-0.04,0.045609362281547786
0.025,0.0,-0.04,0.045583861616819515
0.03,0.0,-0.04,0.04555331596468343
-0.025,0.005,-0.04,0.04566679251605971
-0.02,0.005,-0.04,0.04565164137763823
-0.015,0.005,-0.04,0.04563503619259316
-0.01,0.005,-0.04,0.045621118824043384
-0.005,0.005,-0.04,0.04561286382519808
0.0,0.005,-0.04,0.04561102393038546
0.005,0.005,-0.04,0.04561323912434199
0.01,0.005,-0.04,0.04561438850812209
0.015,0.005,-0.04,0.045608617942570956
0.02,0.005,-0.04,0.04559236201676457
0.025,0.005,-0.04,0.04556669470286858
-0.025,0.01,-0.04,0.045634125942095524
-0.02,0.01,-0.04,0.04562107004428291
-0.015,0.01,-0.04,0.0456098502417472
-0.01,0.01,-0.04,0.04560252884649684
-0.005,0.01,-0.04,0.04559998831930498
0.0,0.01,-0.04,0.04560178692010723
0.005,0.01,-0.04,0.04560552090306148
0.01,0.01,-0.04,0.045606935427698406
0.015,0.01,-0.04,0.04560143678554658
0.02,0.01,-0.04,0.04558653183656975
0.025,0.01,-0.04,0.045563679265167766
-0.025,0.015,-0.04,0.04561136057655036
-0.02,0.015,-0.04,0.0456000635142099
-0.015,0.015,-0.04,0.045593763549079645
-0.01,0.015,-0.04,0.04559230019934382
