X,Y,Z,B0,Bx,By,Bz
25,-10,-30,0.045683486,-0.045405676,0.004815018,0.001456382
30,-10,-30,0.045666936,-0.045388328,0.004819842,0.001462155
35,-10,-30,0.045649171,-0.045369526,0.00482572,0.001471514
-35,-5,-30,0.045615076,-0.045336947,0.004867872,0.001265009
-30,-5,-30,0.045645719,-0.045367176,0.004872131,0.001270188
-25,-5,-30,0.045670493,-0.045392119,0.004869639,0.001279062
-20,-5,-30,0.045690682,-0.045412966,0.004860498,0.001294768
-15,-5,-30,0.045705779,-0.045429059,0.004846488,0.001315419
-10,-5,-30,0.045716274,-0.04544078,0.004829378,0.001338027
-5,-5,-30,0.045722233,-0.045447723,0.004815811,0.001354635
0,-5,-30,0.045724874,-0.045450629,0.004807371,0.001376094
5,-5,-30,0.045723983,-0.04544945,0.004805565,0.001391624
10,-5,-30,0.045719126,-0.045443446,0.004811614,0.001407149
15,-5,-30,0.045711577,-0.045434873,0.00481644,0.00142215
20,-5,-30,0.045700321,-0.045422712,0.004820097,0.001436413
25,-5,-30,0.045685942,-0.0454071,0.004827599,0.001447355
30,-5,-30,0.045668928,-0.045389278,0.004832886,0.001451769
35,-5,-30,0.045649033,-0.045368404,0.004838493,0.001459818
-40,0,-30,0.045593552,-0.045315644,0.004866218,0.001258711
-35,0,-30,0.045624973,-0.045347568,0.004864834,0.001252825
-30,0,-30,0.045652777,-0.045375052,0.004867696,0.001259449
-25,0,-30,0.045676082,-0.045398409,0.004865916,0.001269547
-20,0,-30,0.045694488,-0.045417297,0.004858178,0.001285862
-15,0,-30,0.045708459,-0.045432056,0.004845841,0.001307431
-10,0,-30,0.045718713,-0.045443348,0.004830304,0.001330766
-5,0,-30,0.045723694,-0.045449084,0.0048187,0.001348
0,0,-30,0.045725703,-0.04545107,0.00481309,0.001369028
5,0,-30,0.045724101,-0.045448854,0.004814318,0.001384727
10,0,-30,0.04571943,-0.045442781,0.00482281,0.001400151
15,0,-30,0.045711764,-0.045433906,0.00482949,0.001414774
20,0,-30,0.045700952,-0.045421906,0.004836026,0.001428379
25,0,-30,0.045686996,-0.045406565,0.004845273,0.001438346
