X,Y,Z,B0,Bx,By,Bz
0,-5,-25,0.045764500246063246,0.0017542336540222,-5.46525359451771e-05,0.0457308338012695
0,-5,-20,0.045767991111324194,0.0017715072660446,-4.32445949018002e-05,0.0457336736145
0,-5,-15,0.04577191349786728,0.0017852309322357,-2.95540150254965e-05,0.0457370762329101
0,-5,-10,0.04577348043935363,0.0017972883949279,-1.77774645611644e-05,0.0457381782531738
0,-5,-5,0.04577545834556347,0.0018107881422,-5.16066750325262e-06,0.04573962840271
0,-5,0,0.045775904492074526,0.0018245545864105,6.00854356400669e-06,0.0457395277252197
0,-5,5,0.04577552633602639,0.0018354523382186,1.29179205931723e-05,0.0457387118225
0,-5,10,0.045773983066190835,0.0018455393943786,1.12429447248578e-05,0.0457367618408203
0,-5,15,0.04577064825030607,0.0018562466812133,1.98103882216674e-06,0.0457329923095703
0,-5,20,0.045766041045077706,0.0018630112752914,-6.5468325400725e-06,0.0457281057891846
0,-5,25,0.04575954425017936,0.0018698383417129,-1.34755462631583e-05,0.0457213233947754
0,-5,30,0.04575154948326135,0.0018830390720367,-1.30621641017497e-05,0.0457127801971436
0,-5,35,0.04574241276056191,0.0018955219020843,-6.95346019044518e-06,0.0457031210479736
0,-5,40,0.04573150949919154,0.0019113000326156,4.82640682486817e-06,0.0456915514068604
0,-5,45,0.045722305729829466,0.0019271233272552,1.79917354770005e-05,0.0456816715240478
0,0,-50,0.045738741042902785,0.0016585588397979,3.57468111664057e-05,0.045708646194458
0,0,-45,0.04573580265735715,0.0016858539276123,7.60625964589417e-06,0.0457047205810547
0,0,-40,0.04574101821729947,0.0017168077993392,-1.69658385589719e-05,0.0457087850494385
0,0,-35,0.04574849751058756,0.0017328125677108,-3.03798633217812e-05,0.0457156588287353
0,0,-30,0.04575571313872446,0.0017429160671234,-3.55596260279417e-05,0.0457224918823242
0,0,-25,0.045761988835937156,0.0017567888936996,-3.14683836400509e-05,0.0457282442779541
0,0,-20,0.04576821464031308,0.0017750179471969,-2.33974813297391e-05,0.0457337756500244
0,0,-15,0.04577226878928712,0.0017879191904,-1.36811267100275e-05,0.0457373342895508
0,0,-10,0.045775808258833456,0.0018011337404251,-5.70394283439964e-06,0.0457403597106934
0,0,-5,0.0457778734977229,0.0018141842107772,4.01299920259043e-06,0.0457419109954834
0,0,0,0.04577953989448282,0.0018290290050506,1.19578349329531e-05,0.0457429861602783
0,0,5,0.04577897253954033,0.0018404087104797,1.56877640746534e-05,0.0457419607849121
0,0,10,0.045777465089352605,0.0018504629364,1.07367150448263e-05,0.0457400478973389
0,0,15,0.045774067662147665,0.0018619959363937,-4.41996748821111e-07,0.0457361808776855
0,0,20,0.04576862950165734,0.0018691960802,-1.24203577376902e-05,0.0457304427947998
0,0,25,0.045762634455698406,0.0018772640304565,-2.04142020866275e-05,0.0457241093444824
0,0,30,0.045754562734652705,0.0018915585193634,-2.14696572870016e-05,0.045715441116333
0,0,35,0.045745188238990236,0.0019055193271637,-1.74702394679189e-05,0.0457054803924561
0,0,40,0.04573506124849107,0.0019239507570266,-7.43923342041672e-06,0.0456945750122
0,0,45,0.04572722226128263,0.0019466590642929,2.29306792281568e-06,0.0456857676849365
0,0,50,0.04572931987339909,0.0019750184869766,1.63381819799542e-05,0.0456866471862793
0,5,-45,0.04571791648635819,0.0016897748298645,4.35288820713758e-05,0.0456866572875977
0,5,-40,0.045726204021120175,0.0017163871974945,1.53930821307004e-05,0.0456939767608643
0,5,-35,0.04573688264375411,0.0017321726894378,-2.20834150192968e-06,0.0457040699157715
0,5,-30,0.04574756543583468,0.0017466769857406,-1.08347207158804e-05,0.0457142072601318
0,5,-25,0.04575649870159114,0.0017596667604446,-1.03044585324824e-05,0.0457226490936279
0,5,-20,0.04576422410566747,0.0017773453025817,-5.71713495720178e-06,0.045729697341919
0,5,-15,0.045770163528357555,0.0017911360082626,8.05570634795004e-07,0.0457351035919189
0,5,-10,0.04577477083048042,0.00180442628479,5.26914101513103e-06,0.0457391917572
0,5,-5,0.045777579742928384,0.001817832304,1.14545623101294e-05,0.045741470916748
0,5,0,0.045779753042950774,0.0018327466583252,1.66962428092957e-05,0.0457430491943359
0,5,5,0.04577957754940562,0.0018443310146331,1.77627398893237e-05,0.0457424075469971
0,5,10,0.04577823409834957,0.0018548563556671,1.01995757613331e-05,0.0457406397094727
0,5,15,0.04577495460986667,0.0018666215429306,-3.05686812892964e-06,0.0457368799133301
0,5,20,0.04577007275114422,0.001874745615,-1.60229724161327e-05,0.0457316589660645
0,5,25,0.04576370896979286,0.0018835065155,-2.70485494509339e-05,0.0457249246063232
0,5,30,0.04575585327524772,0.0018988731698989,-2.9454969137907e-05,0.0457164250793457
0,5,35,0.04574620055595216,0.0019138461055755,-2.67311306521297e-05,0.045706141204834
0,5,40,0.0457360564939999,0.001934048002243,-1.86064233258367e-05,0.045695141708374
0,5,45,0.045728495262956394,0.0019561807489395,-1.01205302737653e-05,0.0456866340789795
0,10,-45,0.045693838017267174,0.0016963318300247,7.87995296418667e-05,0.0456622719726562
0,10,-40,0.04570653468757352,0.0017189100942611,4.48345447331667e-05,0.0456741792602539
0,10,-35,0.04572141991966043,0.0017371925830841,2.41389535591006e-05,0.0456883991699219
0,10,-30,0.04573537443946904,0.0017521085834503,1.12731429822743e-05,0.0457017993469238
0,10,-25,0.04574708745206236,0.0017648572282791,8.4626980740577e-06,0.0457130311584473
