coordinate_x,coordinate_y,coordinate_z,y_probe
-76.9,-22.05,60,436.68
-73.64,-31.26,60,436.76
-69.28,-40,60,436.93
-63.89,-48.15,60,437.1
-57.55,-55.57,60,437.28
-50.35,-62.17,60,437.43
-42.39,-67.84,60,437.66
-33.81,-72.5,60,437.68
-24.72,-76.08,60,437.75
-15.26,-78.53,60,437.83
-5.58,-79.81,60,437.88
4.19,-79.89,60,437.84
13.89,-78.78,60,437.85
23.39,-76.5,60,437.76
32.54,-73.08,60,437.68
41.2,-68.57,60,437.56
49.25,-63.04,60,437.39
56.57,-56.57,60,437.17
63.04,-49.25,60,437.06
68.57,-41.2,60,436.88
73.08,-32.54,60,436.75
76.5,-23.39,60,436.57
78.78,-13.89,60,436.49
79.89,-4.19,60,436.4
71.41,0,70,435.76
70.72,9.94,70,435.75
68.64,19.68,70,435.86
65.24,29.05,70,436
60.56,37.84,70,436.1
54.7,45.9,70,436.22
47.78,53.07,70,436.45
39.93,59.2,70,436.66
31.3,64.18,70,436.8
22.07,67.91,70,437
12.4,70.33,70,437.09
2.49,71.37,70,437.12
-7.46,71.02,70,437.12
-17.28,69.29,70,437.1
-26.75,66.21,70,437.03
-35.7,61.84,70,436.96
-43.96,56.27,70,436.78
-51.37,49.61,70,436.66
-57.77,41.97,70,436.55
-63.05,33.52,70,436.32
-67.1,24.42,70,436.1
-69.85,14.85,70,436.1
-71.24,4.98,70,435.93
-71.24,-4.98,70,435.93
-69.85,-14.85,70,435.95
-67.1,-24.42,70,436.11
-63.05,-33.52,70,436.15
-57.77,-41.97,70,436.29
-51.37,-49.61,70,436.46
-43.96,-56.27,70,436.59
-35.71,-61.84,70,436.71
-26.75,-66.21,70,436.83
-17.28,-69.29,70,436.94
-7.46,-71.02,70,436.93
2.49,-71.37,70,436.93
12.4,-70.33,70,436.85
22.07,-67.91,70,436.73
31.3,-64.18,70,436.67
39.93,-59.2,70,436.59
47.78,-53.07,70,436.45
54.7,-45.9,70,436.23
60.56,-37.84,70,436.13
65.24,-29.05,70,435.95
68.64,-19.68,70,435.92
70.72,-9.94,70,435.79
60,0,80,435
59.26,9.39,80,434.98
57.06,18.54,80,435.08
53.46,27.24,80,435.25
48.54,35.27,80,435.36
42.43,42.43,80,435.51
35.27,48.54,80,435.72
27.24,53.46,80,435.83
18.54,57.06,80,435.89
9.39,59.26,80,436.03
0,60,80,436.13
-9.39,59.26,80,436.14
-18.54,57.06,80,436.06
-27.24,53.46,80,435.93
-35.27,48.54,80,435.96
-42.43,42.43,80,435.79
-48.54,35.27,80,435.67
-53.46,27.24,80,435.52
-57.06,18.54,80,435.4
-59.26,9.39,80,435.24
-60,0,80,435.32
-59.26,-9.39,80,435.18
-57.06,-18.54,80,435.2
-53.46,-27.24,80,435.32
-48.54,-35.27,80,435.35
-42.43,-42.43,80,435.5
-35.27,-48.54,80,435.6
-27.24,-53.46,80,435.7
-18.54,-57.06,80,435.78
-9.39,-59.26,80,435.71
0,-60,80,435.84
9.39,-59.26,80,435.85
18.54,-57.06,80,435.79
27.24,-53.46,80,435.69
35.27,-48.54,80,435.52
42.43,-42.43,80,435.4
48.54,-35.27,80,435.26
53.46,-27.24,80,435.16
57.06,-18.54,80,435.11
59.26,-9.39,80,434.97
43.59,0,90,434.23
42.47,9.81,90,434.2
39.18,19.11,90,434.39
33.88,27.43,90,434.48
26.84,34.35,90,434.58
18.42,39.51,90,434.68
9.06,42.64,90,434.84
-0.76,43.58,90,434.9
-10.55,42.3,90,434.93
-19.79,38.84,90,434.78
-28.02,33.39,90,434.71
-34.81,26.23,90,434.69
-39.82,17.73,90,434.62
-42.79,8.32,90,434.47
-43.56,-1.52,90,434.48
-42.1,-11.28,90,434.46
-38.49,-20.46,90,434.44
-32.9,-28.6,90,434.51
-25.62,-35.27,90,434.68
-17.03,-40.12,90,434.61
-7.57,-42.93,90,434.66
2.28,-43.53,90,434.7
12.02,-41.9,90,434.58
21.13,-38.12,90,434.48
29.17,-32.39,90,434.45
35.71,-25,90,434.24
40.42,-16.33,90,434.28
43.05,-6.82,90,434.16
0,0,100,433.54
