X,Y,Z,Bz
-15.0,20.0,-35.0,442.18
-10.0,20.0,-35.0,441.88000000000005
-5.0,20.0,-35.0,441.6175
0.0,20.0,-35.0,441.435
5.0,20.0,-35.0,441.31
10.0,20.0,-35.0,441.365
15.0,20.0,-35.0,441.665
20.0,20.0,-35.0,442.075
25.0,20.0,-35.0,442.50666666666666
-25.0,25.0,-35.0,443.115
-20.0,25.0,-35.0,442.5933333333333
-15.0,25.0,-35.0,441.97666666666663
-10.0,25.0,-35.0,441.65000000000003
-5.0,25.0,-35.0,441.4214285714285
0.0,25.0,-35.0,441.2475
5.0,25.0,-35.0,441.2557142857143
10.0,25.0,-35.0,441.35333333333335
15.0,25.0,-35.0,441.6716666666667
20.0,25.0,-35.0,442.12
25.0,25.0,-35.0,442.6775
-15.0,30.0,-35.0,441.70000000000005
-10.0,30.0,-35.0,441.38
-5.0,30.0,-35.0,441.1933333333333
0.0,30.0,-35.0,441.12
5.0,30.0,-35.0,441.09000000000003
10.0,30.0,-35.0,441.22
15.0,30.0,-35.0,441.59499999999997
-5.0,35.0,-35.0,441.27750000000003
0.0,35.0,-35.0,441.40000000000003
5.0,35.0,-35.0,441.45500000000004
0.0,-40.0,-30.0,441.96000000000004
-15.0,-35.0,-30.0,442.22499999999997
-10.0,-35.0,-30.0,441.75
-5.0,-35.0,-30.0,441.74
0.0,-35.0,-30.0,441.85499999999996
5.0,-35.0,-30.0,441.7633333333333
10.0,-35.0,-30.0,441.91
15.0,-35.0,-30.0,441.91999999999996
-25.0,-30.0,-30.0,442.90000000000003
-20.0,-30.0,-30.0,442.72
-15.0,-30.0,-30.0,442.195
-10.0,-30.0,-30.0,441.85
-5.0,-30.0,-30.0,441.74499999999995
0.0,-30.0,-30.0,441.76
5.0,-30.0,-30.0,441.785
10.0,-30.0,-30.0,441.83000000000004
15.0,-30.0,-30.0,442.08
20.0,-30.0,-30.0,442.37
25.0,-30.0,-30.0,442.91999999999996
-30.0,-25.0,-30.0,443.87
-25.0,-25.0,-30.0,443.31666666666666
-20.0,-25.0,-30.0,442.755
-15.0,-25.0,-30.0,442.29499999999996
-10.0,-25.0,-30.0,441.995
-5.0,-25.0,-30.0,441.7775
0.0,-25.0,-30.0,441.75
5.0,-25.0,-30.0,441.75500000000005
10.0,-25.0,-30.0,441.85999999999996
15.0,-25.0,-30.0,442.0925
20.0,-25.0,-30.0,442.395
25.0,-25.0,-30.0,442.7933333333333
30.0,-25.0,-30.0,443.17
-30.0,-20.0,-30.0,443.82
-25.0,-20.0,-30.0,443.295
-20.0,-20.0,-30.0,442.79999999999995
-15.0,-20.0,-30.0,442.435
-10.0,-20.0,-30.0,442.09
-5.0,-20.0,-30.0,441.86999999999995
0.0,-20.0,-30.0,441.69
5.0,-20.0,-30.0,441.745
10.0,-20.0,-30.0,441.81
15.0,-20.0,-30.0,441.965
20.0,-20.0,-30.0,442.28999999999996
25.0,-20.0,-30.0,442.67
30.0,-20.0,-30.0,443.11
-35.0,-15.0,-30.0,443.85
-30.0,-15.0,-30.0,443.8
-25.0,-15.0,-30.0,443.2925
-20.0,-15.0,-30.0,442.85499999999996
-15.0,-15.0,-30.0,442.5075
-10.0,-15.0,-30.0,442.13
-5.0,-15.0,-30.0,441.89
0.0,-15.0,-30.0,441.80999999999995
5.0,-15.0,-30.0,441.7375
10.0,-15.0,-30.0,441.73499999999996
15.0,-15.0,-30.0,441.9675
20.0,-15.0,-30.0,442.25
25.0,-15.0,-30.0,442.61
30.0,-15.0,-30.0,442.99
35.0,-15.0,-30.0,443.38000000000005
-35.0,-10.0,-30.0,444.1
-30.0,-10.0,-30.0,443.64
-25.0,-10.0,-30.0,443.25
-20.0,-10.0,-30.0,442.84
-15.0,-10.0,-30.0,442.47999999999996
-10.0,-10.0,-30.0,442.2
-5.0,-10.0,-30.0,441.96
0.0,-10.0,-30.0,441.83
5.0,-10.0,-30.0,441.76000000000005
10.0,-10.0,-30.0,441.82000000000005
15.0,-10.0,-30.0,441.97
20.0,-10.0,-30.0,442.24
25.0,-10.0,-30.0,442.52
30.0,-10.0,-30.0,442.95
35.0,-10.0,-30.0,443.37
-35.0,-5.0,-30.0,444.02666666666664
-30.0,-5.0,-30.0,443.685
-25.0,-5.0,-30.0,443.315
-20.0,-5.0,-30.0,442.955
-15.0,-5.0,-30.0,442.59250000000003
-10.0,-5.0,-30.0,442.29
-5.0,-5.0,-30.0,442.0
0.0,-5.0,-30.0,441.9
5.0,-5.0,-30.0,441.8175
10.0,-5.0,-30.0,441.905
15.0,-5.0,-30.0,442.005
20.0,-5.0,-30.0,442.385
25.0,-5.0,-30.0,442.70250000000004
30.0,-5.0,-30.0,443.05
35.0,-5.0,-30.0,443.4433333333333
-40.0,0.0,-30.0,443.90999999999997
-35.0,0.0,-30.0,444.12
-30.0,0.0,-30.0,443.6
-25.0,0.0,-30.0,443.27
-20.0,0.0,-30.0,442.96
-15.0,0.0,-30.0,442.59499999999997
-10.0,0.0,-30.0,442.33
-5.0,0.0,-30.0,442.06
0.0,0.0,-30.0,441.94
5.0,0.0,-30.0,441.945
10.0,0.0,-30.0,441.96999999999997
15.0,0.0,-30.0,442.19
20.0,0.0,-30.0,442.49
25.0,0.0,-30.0,442.725
30.0,0.0,-30.0,443.15999999999997
35.0,0.0,-30.0,443.58000000000004
40.0,0.0,-30.0,444.02000000000004
-35.0,5.0,-30.0,443.14
-30.0,5.0,-30.0,443.65
-25.0,5.0,-30.0,443.2525
-20.0,5.0,-30.0,442.885
-15.0,5.0,-30.0,442.5625
-10.0,5.0,-30.0,442.28000000000003
-5.0,5.0,-30.0,441.9925
0.0,5.0,-30.0,441.875
5.0,5.0,-30.0,441.955
10.0,5.0,-30.0,442.005
15.0,5.0,-30.0,442.22749999999996
20.0,5.0,-30.0,442.42999999999995
25.0,5.0,-30.0,442.7775
30.0,5.0,-30.0,443.17499999999995
35.0,5.0,-30.0,443.56333333333333
-35.0,10.0,-30.0,444.07
-30.0,10.0,-30.0,443.64
-25.0,10.0,-30.0,443.235
-20.0,10.0,-30.0,442.84000000000003
-15.0,10.0,-30.0,442.49
-10.0,10.0,-30.0,442.19
-5.0,10.0,-30.0,441.985
0.0,10.0,-30.0,441.89
5.0,10.0,-30.0,441.79499999999996
10.0,10.0,-30.0,442.01
15.0,10.0,-30.0,442.11499999999995
20.0,10.0,-30.0,442.43
25.0,10.0,-30.0,442.88
30.0,10.0,-30.0,443.71
35.0,10.0,-30.0,444.15999999999997
-35.0,15.0,-30.0,444.38
-30.0,15.0,-30.0,443.79999999999995
-25.0,15.0,-30.0,443.35499999999996
-20.0,15.0,-30.0,442.85999999999996
-15.0,15.0,-30.0,442.2175
-10.0,15.0,-30.0,441.97499999999997
-5.0,15.0,-30.0,441.8375
0.0,15.0,-30.0,441.66
5.0,15.0,-30.0,441.6725
10.0,15.0,-30.0,441.84499999999997
15.0,15.0,-30.0,442.1925
20.0,15.0,-30.0,442.74
25.0,15.0,-30.0,443.05
30.0,15.0,-30.0,443.48
35.0,15.0,-30.0,443.89
-30.0,20.0,-30.0,443.56
