X,Y,Z,B0
-10,5,-35,0.045745246
-5,5,-35,0.045750295
0,5,-35,0.045751462
5,5,-35,0.045749165
10,5,-35,0.045743481
15,5,-35,0.04573426
20,5,-35,0.04572137
25,5,-35,0.045704761
30,5,-35,0.045684059
35,5,-35,0.045657973
-30,10,-35,0.045681289
-25,10,-35,0.045704418
-20,10,-35,0.045721849
-15,10,-35,0.0457344
-10,10,-35,0.045742467
-5,10,-35,0.045746453
0,10,-35,0.045746829
5,10,-35,0.045743949
10,10,-35,0.045737916
15,10,-35,0.045728673
20,10,-35,0.045716181
25,10,-35,0.045700388
30,10,-35,0.045680769
-30,15,-35,0.045686307
-25,15,-35,0.045705585
-20,15,-35,0.045719946
-15,15,-35,0.045730168
-10,15,-35,0.045736544
-5,15,-35,0.045739327
0,15,-35,0.045738843
5,15,-35,0.045735374
10,15,-35,0.04572906
15,15,-35,0.045719969
20,15,-35,0.045708211
25,15,-35,0.045693805
30,15,-35,0.045676125
-25,20,-35,0.045704695
-20,20,-35,0.045715281
-15,20,-35,0.045722757
-10,20,-35,0.045727156
-5,20,-35,0.045728557
0,20,-35,0.045727152
5,20,-35,0.045723156
10,20,-35,0.045716737
15,20,-35,0.045708082
20,20,-35,0.045697471
25,20,-35,0.045685145
-25,25,-35,0.045701586
-20,25,-35,0.045707615
-15,25,-35,0.04571191
-10,25,-35,0.045714028
-5,25,-35,0.045713864
0,25,-35,0.045711511
5,25,-35,0.045707134
10,25,-35,0.045700915
15,25,-35,0.045693106
20,25,-35,0.045684124
25,25,-35,0.045674582
-15,30,-35,0.045697656
-10,30,-35,0.045697122
-5,30,-35,0.045695214
0,30,-35,0.045691937
5,30,-35,0.045687411
10,30,-35,0.045681851
15,30,-35,0.045675541
-5,35,-35,0.045673107
0,35,-35,0.045668982
5,35,-35,0.045664568
0,-40,-30,0.045652524
-15,-35,-30,0.04565672
-10,-35,-30,0.045661588
-5,-35,-30,0.045665367
0,-35,-30,0.045667997
5,-35,-30,0.045669263
10,-35,-30,0.045668682
15,-35,-30,0.045666214
-25,-30,-30,0.045645549
-20,-30,-30,0.045657571
-15,-30,-30,0.045667307
-10,-30,-30,0.045674714
-5,-30,-30,0.045679772
0,-30,-30,0.0456825
5,-30,-30,0.045682862
10,-30,-30,0.04568081
15,-30,-30,0.045676572
20,-30,-30,0.045670928
25,-30,-30,0.04566519
-30,-25,-30,0.045626421
-25,-25,-30,0.045647618
-20,-25,-30,0.045664439
-15,-25,-30,0.04567728
-10,-25,-30,0.045686564
-5,-25,-30,0.045692559
0,-25,-30,0.045695433
5,-25,-30,0.045695297
10,-25,-30,0.045692283
15,-25,-30,0.045686666
20,-25,-30,0.045678941
25,-25,-30,0.045669802
30,-25,-30,0.045660397
-30,-20,-30,0.045627269
-25,-20,-30,0.045652116
-20,-20,-30,0.045671662
-15,-20,-30,0.045686392
-10,-20,-30,0.04569684
-5,-20,-30,0.045703398
0,-20,-30,0.045706347
5,-20,-30,0.045705899
10,-20,-30,0.045702249
15,-20,-30,0.045695645
20,-20,-30,0.045686432
25,-20,-30,0.045675051
30,-20,-30,0.045662271
-35,-15,-30,0.045599489
-30,-15,-30,0.045631577
-25,-15,-30,0.045658057
-20,-15,-30,0.04567882
-15,-15,-30,0.045694401
-10,-15,-30,0.045705337
-5,-15,-30,0.045712072
0,-15,-30,0.045714961
5,-15,-30,0.045714276
10,-15,-30,0.04571022
15,-15,-30,0.04570298
20,-15,-30,0.045692784
25,-15,-30,0.045679904
30,-15,-30,0.045664741
35,-15,-30,0.045648456
-35,-10,-30,0.045605439
-30,-10,-30,0.045638024
-25,-10,-30,0.04566463
-20,-10,-30,0.04568546
-15,-10,-30,0.045701047
-10,-10,-30,0.045711894
-5,-10,-30,0.045718455
0,-10,-30,0.045721131
5,-10,-30,0.045720223
10,-10,-30,0.045715915
15,-10,-30,0.045708325
20,-10,-30,0.045697576
25,-10,-30,0.045683809
30,-10,-30,0.045667145
35,-10,-30,0.045647932
-35,-5,-30,0.045614391
-30,-5,-30,0.045645606
-25,-5,-30,0.045671124
-20,-5,-30,0.045691129
-15,-5,-30,0.045706063
-10,-5,-30,0.045716365
-5,-5,-30,0.045722471
0,-5,-30,0.045724793
5,-5,-30,0.045723637
10,-5,-30,0.045719164
15,-5,-30,0.045711436
20,-5,-30,0.045700504
25,-5,-30,0.045686425
30,-5,-30,0.045669206
35,-5,-30,0.045648921
-40,0,-30,0.045593339
-35,0,-30,0.04562489
-30,0,-30,0.045653357
-25,0,-30,0.045676887
-20,0,-30,0.045695396
-15,0,-30,0.04570918
-10,0,-30,0.045718595
-5,0,-30,0.045724031
0,0,-30,0.045725877
5,0,-30,0.04572443
10,0,-30,0.045719833
15,0,-30,0.045712123
20,0,-30,0.045701318
25,0,-30,0.04568745
30,0,-30,0.045670536
35,0,-30,0.045650783
40,0,-30,0.045629856
-35,5,-30,0.045635506
-30,5,-30,0.04566047
-25,5,-30,0.045681396
-20,5,-30,0.045697902
-15,5,-30,0.045710148
-10,5,-30,0.045718402
-5,5,-30,0.045722992
0,5,-30,0.045724261
5,5,-30,0.045722477
10,5,-30,0.045717781
15,5,-30,0.045710218
20,5,-30,0.045699815
25,5,-30,0.045686613
30,5,-30,0.045670671
35,5,-30,0.045652426
-35,10,-30,0.045645592
-30,10,-30,0.045666564
-25,10,-30,0.045684349
-20,10,-30,0.045698384
-15,10,-30,0.045708732
-10,10,-30,0.045715574
-5,10,-30,0.045719156
0,10,-30,0.045719754
5,10,-30,0.045717602
10,10,-30,0.045712849
15,10,-30,0.045705577
20,10,-30,0.045695859
25,10,-30,0.045683766
30,10,-30,0.045669378
35,10,-30,0.045653219
-35,15,-30,0.045655799
-30,15,-30,0.045671808
-25,15,-30,0.045685665
-20,15,-30,0.045696665
-15,15,-30,0.045704718
-10,15,-30,0.045709879
-5,15,-30,0.045712284
0,15,-30,0.045712129
5,15,-30,0.045709608
10,15,-30,0.045704883
15,15,-30,0.045698094
20,15,-30,0.045689395
25,15,-30,0.045678939
30,15,-30,0.045666864
35,15,-30,0.045653694
-30,20,-30,0.045676728
-25,20,-30,0.045685384
-20,20,-30,0.045692608
-15,20,-30,0.045697909
-10,20,-30,0.045701093
-5,20,-30,0.045702149
0,20,-30,0.045701178
5,20,-30,0.045698333
10,20,-30,0.045693786
15,20,-30,0.045687742
20,20,-30,0.04568047
25,20,-30,0.045672311
30,20,-30,0.045663701
-30,25,-30,0.045681756
-25,25,-30,0.045683544
-20,25,-30,0.04568614
-15,25,-30,0.045688185
-10,25,-30,0.045689078
-5,25,-30,0.045688616
0,25,-30,0.0456868
5,25,-30,0.045683734
10,25,-30,0.0456796
15,25,-30,0.045674658
20,25,-30,0.045669302
25,25,-30,0.045664191
30,25,-30,0.045660507
-25,30,-30,0.045680334
-20,30,-30,0.045677465
-15,30,-30,0.045675673
-10,30,-30,0.045673903
-5,30,-30,0.045671765
0,30,-30,0.045669118
5,30,-30,0.045665999
10,30,-30,0.045662617
15,30,-30,0.045659302
20,30,-30,0.04565652
25,30,-30,0.04565523
-15,35,-30,0.045660992
-10,35,-30,0.045656022
-5,35,-30,0.04565207
0,35,-30,0.045648674
5,35,-30,0.0456457
10,35,-30,0.045643503
15,35,-30,0.045642649
0,40,-30,0.045626751
-15,-40,-25,0.045631933
-10,-40,-25,0.045634498
-5,-40,-25,0.045636731
0,-40,-25,0.04563835
5,-40,-25,0.045638753
10,-40,-25,0.045636651
15,-40,-25,0.045631274
-25,-35,-25,0.045635928
-20,-35,-25,0.045639895
-15,-35,-25,0.045644218
-10,-35,-25,0.045648095
-5,-35,-25,0.045650878
0,-35,-25,0.045652187
5,-35,-25,0.045651595
10,-35,-25,0.045648603
15,-35,-25,0.045643135
20,-35,-25,0.045636138
25,-35,-25,0.045629526
-30,-30,-25,0.045626718
-25,-30,-25,0.045638131
-20,-30,-25,0.045647334
-15,-30,-25,0.045654715
-10,-30,-25,0.045660257
-5,-30,-25,0.045663805
0,-30,-25,0.045665184
5,-30,-25,0.045664203
10,-30,-25,0.045660717
15,-30,-25,0.045654837
20,-30,-25,0.045647134
25,-30,-25,0.045638615
30,-30,-25,0.045630639
-35,-25,-25,0.045605405
-30,-25,-25,0.045624708
-25,-25,-25,0.045641008
-20,-25,-25,0.04565396
-15,-25,-25,0.045663837
-10,-25,-25,0.045670879
-5,-25,-25,0.045675197
0,-25,-25,0.045676814
5,-25,-25,0.045675719
10,-25,-25,0.045671938
15,-25,-25,0.045665637
20,-25,-25,0.045657206
25,-25,-25,0.045647328
30,-25,-25,0.04563726
35,-25,-25,0.045629925
-35,-20,-25,0.045602856
-30,-20,-25,0.045625592
-25,-20,-25,0.045644887
-20,-20,-25,0.04566022
-15,-20,-25,0.045671797
-10,-20,-25,0.045679926
-5,-20,-25,0.045684843
0,-20,-25,0.0456867
5,-20,-25,0.045685603
10,-20,-25,0.045681662
15,-20,-25,0.045675049
20,-20,-25,0.04566606
25,-20,-25,0.045655198
30,-20,-25,0.045643481
35,-20,-25,0.045633324
-40,-15,-25,0.045577114
-35,-15,-25,0.045603975
-30,-15,-25,0.045628721
-25,-15,-25,0.04564956
-20,-15,-25,0.045666122
-15,-15,-25,0.045678606
-10,-15,-25,0.045687331
-5,-15,-25,0.045692583
0,-15,-25,0.045694585
5,-15,-25,0.045693511
10,-15,-25,0.045689505
15,-15,-25,0.045682726
20,-15,-25,0.04567339
25,-15,-25,0.045661844
30,-15,-25,0.045648765
35,-15,-25,0.045635701
40,-15,-25,0.045626156
-40,-10,-25,0.045580727
-35,-10,-25,0.045608436
-30,-10,-25,0.04563355
-25,-10,-25,0.045654656
-20,-10,-25,0.045671464
-15,-10,-25,0.045684143
-10,-10,-25,0.045692985
-5,-10,-25,0.045698282
0,-10,-25,0.045700292
5,-10,-25,0.045699219
10,-10,-25,0.045695217
15,-10,-25,0.045688419
20,-10,-25,0.045678976
25,-10,-25,0.045667108
30,-10,-25,0.045653208
35,-10,-25,0.04563816
40,-10,-25,0.045624029
-40,-5,-25,0.045589725
-35,-5,-25,0.045615578
-30,-5,-25,0.045639448
-25,-5,-25,0.045659712
-20,-5,-25,0.045675944
-15,-5,-25,0.045688211
-10,-5,-25,0.045696744
-5,-5,-25,0.045701815
0,-5,-25,0.045703686
5,-5,-25,0.045702568
10,-5,-25,0.045698615
15,-5,-25,0.045691938
20,-5,-25,0.045682647
25,-5,-25,0.045670889
30,-5,-25,0.045656929
35,-5,-25,0.045641407
40,-5,-25,0.045625992
-40,0,-25,0.045602182
-35,0,-25,0.045624233
-30,0,-25,0.045645649
-25,0,-25,0.045664212
-20,0,-25,0.045679215
-15,0,-25,0.045690574
-10,0,-25,0.045698439
-5,0,-25,0.045703044
0,0,-25,0.045704633
5,0,-25,0.045703417
10,0,-25,0.045699542
15,0,-25,0.045693115
20,0,-25,0.04568423
25,0,-25,0.045673024
30,0,-25,0.045659768
35,0,-25,0.045645197
40,0,-25,0.045631359
-40,5,-25,0.04561564
-35,5,-25,0.045633136
-30,5,-25,0.04565142
-25,5,-25,0.045667683
-20,5,-25,0.045680944
-15,5,-25,0.045690983
-10,5,-25,0.045697873
-5,5,-25,0.0457018
0,5,-25,0.04570298
5,5,-25,0.045701612
10,5,-25,0.045697844
15,5,-25,0.045691788
20,5,-25,0.045683552
25,5,-25,0.045673295
30,5,-25,0.045661353
35,5,-25,0.045648674
40,5,-25,0.045637907
-40,10,-25,0.045628497
-35,10,-25,0.045641524
-30,10,-25,0.045656306
-25,10,-25,0.045669787
-20,10,-25,0.045680854
-15,10,-25,0.045689201
-10,10,-25,0.045694834
-5,10,-25,0.045697888
0,10,-25,0.045698544
5,10,-25,0.045696984
10,10,-25,0.045693361
15,10,-25,0.045687806
20,10,-25,0.04568046
25,10,-25,0.045671518
30,10,-25,0.045661371
35,10,-25,0.045651089
40,10,-25,0.045643649
-40,15,-25,0.045640944
-35,15,-25,0.045649497
-30,15,-25,0.04566024
-25,15,-25,0.045670353
-20,15,-25,0.045678732
-15,15,-25,0.045685003
-10,15,-25,0.045689101
-5,15,-25,0.045691098
0,15,-25,0.045691131
5,15,-25,0.04568936
10,15,-25,0.045685945
15,15,-25,0.045681048
20,15,-25,0.045674855
25,15,-25,0.045667616
30,15,-25,0.045659774
35,15,-25,0.04565238
40,15,-25,0.045648218
-35,20,-25,0.045657833
-30,20,-25,0.045663402
-25,20,-25,0.045669302
-20,20,-25,0.045674402
-15,20,-25,0.045678187
-10,20,-25,0.045680467
-5,20,-25,0.045681232
0,20,-25,0.045680565
5,20,-25,0.045678599
10,20,-25,0.045675496
15,20,-25,0.045671449
20,20,-25,0.045666706
25,20,-25,0.04566162
30,20,-25,0.045656758
35,20,-25,0.045653188
-35,25,-25,0.045667168
-30,25,-25,0.045665827
-25,25,-25,0.045666506
-20,25,-25,0.045667705
-15,25,-25,0.045668582
-10,25,-25,0.045668769
-5,25,-25,0.045668151
0,25,-25,0.045666743
5,25,-25,0.04566464
10,25,-25,0.045662001
15,25,-25,0.045659045
20,25,-25,0.045656081
25,25,-25,0.045653603
30,25,-25,0.045652492
35,25,-25,0.045654198
-30,30,-25,0.045666945
-25,30,-25,0.045661713
-20,30,-25,0.045658528
-15,30,-25,0.045656108
-10,30,-25,0.045653944
-5,30,-25,0.045651836
0,30,-25,0.045649701
5,30,-25,0.045647567
10,30,-25,0.0456456
15,30,-25,0.045644045
20,30,-25,0.045643213
25,30,-25,0.045643674
30,30,-25,0.045646742
-25,35,-25,0.045654685
-20,35,-25,0.04564693
-15,35,-25,0.045640814
-10,35,-25,0.045636062
-5,35,-25,0.04563246
0,35,-25,0.045629702
5,35,-25,0.045627677
10,35,-25,0.045626612
15,35,-25,0.045626866
20,35,-25,0.045628628
25,35,-25,0.045632123
-15,40,-25,0.045622758
-10,40,-25,0.045615248
-5,40,-25,0.045610452
0,40,-25,0.045607388
5,40,-25,0.045605548
10,40,-25,0.045605457
15,40,-25,0.045608003
-5,-45,-20,0.045609076
0,-45,-20,0.045611003
5,-45,-20,0.045610105
-20,-40,-20,0.045615662
-15,-40,-20,0.045619208
-10,-40,-20,0.045622666
-5,-40,-20,0.045624996
0,-40,-20,0.045625545
5,-40,-20,0.045623422
10,-40,-20,0.045617311
15,-40,-20,0.045606245
20,-40,-20,0.045590583
-25,-35,-20,0.04562542
-20,-35,-20,0.04563005
-15,-35,-20,0.045634012
-10,-35,-20,0.045637222
-5,-35,-20,0.04563913
0,-35,-20,0.045639158
5,-35,-20,0.045636678
10,-35,-20,0.045631055
15,-35,-20,0.045621955
20,-35,-20,0.045609627
25,-35,-20,0.045594566
-30,-30,-20,0.045621624
-25,-30,-20,0.045632148
-20,-30,-20,0.045639674
-15,-30,-20,0.045645341
-10,-30,-20,0.045649369
-5,-30,-20,0.045651576
0,-30,-20,0.045651644
5,-30,-20,0.045649223
10,-30,-20,0.04564402
15,-30,-20,0.045635939
20,-30,-20,0.045625167
25,-30,-20,0.045612035
30,-30,-20,0.045596689
-35,-25,-20,0.045605617
-30,-25,-20,0.045623443
-25,-25,-20,0.045636838
-20,-25,-20,0.045646931
-15,-25,-20,0.045654395
-10,-25,-20,0.045659513
-5,-25,-20,0.045662312
0,-25,-20,0.045662693
5,-25,-20,0.045660517
10,-25,-20,0.045655682
15,-25,-20,0.045648202
20,-25,-20,0.045638253
25,-25,-20,0.045626172
30,-25,-20,0.045612498
35,-25,-20,0.045598214
-40,-20,-20,0.045581222
-35,-20,-20,0.045605854
-30,-20,-20,0.045625454
-25,-20,-20,0.045640955
-20,-20,-20,0.04565293
-15,-20,-20,0.045661813
-10,-20,-20,0.045667884
-5,-20,-20,0.04567128
0,-20,-20,0.045672042
5,-20,-20,0.04567017
10,-20,-20,0.045665674
15,-20,-20,0.045658623
20,-20,-20,0.045649184
25,-20,-20,0.045637666
30,-20,-20,0.045624629
35,-20,-20,0.045611086
40,-20,-20,0.045598574
-40,-15,-20,0.045582462
-35,-15,-20,0.045607698
-30,-15,-20,0.045628343
-25,-15,-20,0.04564503
-20,-15,-20,0.045658101
-15,-15,-20,0.045667861
-10,-15,-20,0.045674565
-5,-15,-20,0.045678399
0,-15,-20,0.045679485
5,-15,-20,0.045677905
10,-15,-20,0.045673731
15,-15,-20,0.045667055
20,-15,-20,0.045658022
25,-15,-20,0.045646866
30,-15,-20,0.045633984
35,-15,-20,0.045620008
40,-15,-20,0.045605637
-40,-10,-20,0.045587488
-35,-10,-20,0.045611764
-30,-10,-20,0.045632246
-25,-10,-20,0.045649122
-20,-10,-20,0.045662502
-15,-10,-20,0.045672568
-10,-10,-20,0.045679527
-5,-10,-20,0.04568357
0,-10,-20,0.045684858
5,-10,-20,0.045683517
10,-10,-20,0.045679653
15,-10,-20,0.045673364
20,-10,-20,0.04566477
25,-10,-20,0.045654032
30,-10,-20,0.045641387
35,-10,-20,0.04562716
40,-10,-20,0.045611551
-45,-5,-20,0.045572042
-40,-5,-20,0.045596047
-35,-5,-20,0.04561771
-30,-5,-20,0.04563684
-25,-5,-20,0.045652996
-20,-5,-20,0.045665983
-15,-5,-20,0.045675827
-10,-5,-20,0.045682664
-5,-5,-20,0.045686668
0,-5,-20,0.045688011
5,-5,-20,0.04568684
10,-5,-20,0.045683276
15,-5,-20,0.045677423
20,-5,-20,0.045669387
25,-5,-20,0.045659293
30,-5,-20,0.04564732
35,-5,-20,0.045633716
40,-5,-20,0.045618702
45,-5,-20,0.045601743
-45,0,-20,0.045588562
-40,0,-20,0.045606425
-35,0,-20,0.045624549
-30,0,-20,0.045641514
-25,0,-20,0.045656259
-20,0,-20,0.045668279
-15,0,-20,0.045677445
-10,0,-20,0.045683819
-5,0,-20,0.045687546
0,0,-20,0.045688792
5,0,-20,0.045687714
10,0,-20,0.045684444
15,0,-20,0.045679094
20,0,-20,0.045671773
25,0,-20,0.045662615
30,0,-20,0.045651827
35,0,-20,0.045639774
40,0,-20,0.045627032
45,0,-20,0.045613996
-45,5,-20,0.045604126
-40,5,-20,0.045616628
-35,5,-20,0.045631171
-30,5,-20,0.045645608
-25,5,-20,0.045658485
-20,5,-20,0.045669092
-15,5,-20,0.045677195
-10,5,-20,0.0456828
-5,5,-20,0.045686026
0,5,-20,0.045687032
5,5,-20,0.045685974
10,5,-20,0.045682995
15,5,-20,0.045678221
20,5,-20,0.045671777
25,5,-20,0.045663829
30,5,-20,0.045654649
35,5,-20,0.045644764
40,5,-20,0.045635144
45,5,-20,0.045627049
-40,10,-20,0.045625288
-35,10,-20,0.045636804
-30,10,-20,0.045648638
-25,10,-20,0.045659325
-20,10,-20,0.045668144
-15,10,-20,0.045674837
-10,10,-20,0.045679391
-5,10,-20,0.04568191
0,10,-20,0.04568254
5,10,-20,0.045681439
10,10,-20,0.045678758
15,10,-20,0.045674637
20,10,-20,0.04566923
25,10,-20,0.045662727
30,10,-20,0.045655445
35,10,-20,0.045647982
40,10,-20,0.045641462
-40,15,-20,0.045632031
-35,15,-20,0.045641205
-30,15,-20,0.045650366
-25,15,-20,0.045658534
-20,15,-20,0.045665186
-15,15,-20,0.04567013
-10,15,-20,0.045673363
-5,15,-20,0.045674978
0,15,-20,0.045675114
5,15,-20,0.045673922
10,15,-20,0.045671559
15,15,-20,0.045668182
20,15,-20,0.045663966
25,15,-20,0.045659122
30,15,-20,0.045653955
35,15,-20,0.045648968
40,15,-20,0.045644986
-40,20,-20,0.045637253
-35,20,-20,0.045644472
-30,20,-20,0.045650685
-25,20,-20,0.045655901
-20,20,-20,0.045659972
-15,20,-20,0.045662822
-10,20,-20,0.045664471
-5,20,-20,0.045665007
0,20,-20,0.04566455
5,20,-20,0.045663244
10,20,-20,0.045661242
15,20,-20,0.045658712
20,20,-20,0.045655842
25,20,-20,0.045652851
30,20,-20,0.04565
35,20,-20,0.045647536
40,20,-20,0.045645454
-35,25,-20,0.045646472
-30,25,-20,0.045649284
-25,25,-20,0.045651095
-20,25,-20,0.045652192
-15,25,-20,0.045652628
-10,25,-20,0.045652461
-5,25,-20,0.045651775
0,25,-20,0.045650667
5,25,-20,0.045649257
10,25,-20,0.045647686
15,25,-20,0.045646116
20,25,-20,0.045644722
25,25,-20,0.045643707
30,25,-20,0.045643277
35,25,-20,0.045643378
-30,30,-20,0.045645182
-25,30,-20,0.045643467
-20,30,-20,0.045641391
